,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
291,"Is, um, environmental engineers can come in and sort of evaluate for that, right?",um environmental engineer come sort evaluate right,"[um, environmental, engineer, come, sort, evaluate, right]",um environmental engineer come sort evaluate right,"['environmental', 'engineer', 'come', 'evaluate', 'right']",4
292,Exactly.,exactly,[exactly],exactly,['exactly'],10
293,"Improving a meaning increasing the air changes in the room helps, obviously, And that's what we do in the hospital.",improve meaning increase air change room help obviously hospital,"[improve, meaning, increase, air, change, room, help, obviously, hospital]",improve meaning increase air change room help obviously hospital,"['improve', 'meaning', 'increase', 'air', 'change', 'room', 'help', 'obviously', 'hospital']",1
294,"If you cannot, you cannot actually open the windows then then having ah more efficient system that will will get free or fresh air and frequent changes It's it's helpful, are supposed to having a completely circulated area in a closed environment.",actually open window ah efficient system get free fresh air frequent change helpful suppose completely circulate area close environment,"[actually, open, window, ah, efficient, system, get, free, fresh, air, frequent, change, helpful, suppose, completely, circulate, area, close, environment]",actually open window ah efficient system get free fresh air frequent change helpful suppose completely circulate area close environment,"['open', 'window', 'efficient', 'system', 'get', 'free', 'fresh', 'air', 'frequent', 'change', 'helpful', 'suppose', 'completely', 'circulate', 'area', 'close', 'environment']",10
295,"I think, you know certain there's actually one more related question.",think know certain actually one related question,"[think, know, certain, actually, one, related, question]",think know certain actually one related question,"['certain', 'related', 'question']",6
296,Maybe it's answered.,maybe answer,"[maybe, answer]",maybe answer,"['maybe', 'answer']",1
297,Jeff Miller asked any thoughts on data on whether HEPA air filters may help in outpatient settings in exam rooms and things like that.,jeff miller ask thought datum whether hepa air filter may help outpatient setting exam room thing like,"[jeff, miller, ask, thought, datum, whether, hepa, air, filter, may, help, outpatient, setting, exam, room, thing, like]",jeff miller ask thought datum whether hepa air filter may help outpatient setting exam room thing like,"['jeff', 'miller', 'ask', 'thought', 'datum', 'whether', 'hepa', 'air', 'filter', 'may', 'help', 'outpatient', 'setting', 'exam', 'room']",10
298,This is Marla.,marla,[marla],marla,['marla'],4
299,"The PA did put out, um, sort of a statement with some guidance about using indoor HEPA filters and portable air filtration systems in enclosed environments, um, as to augment really kind of bringing in fresh air and that if you're not able to bring in fresh air, that this would sort of be better than nothing.",pa put um sort statement guidance use indoor hepa filter portable air filtration system enclose environment um augment really kind bring fresh air able bring fresh air would sort well nothing,"[pa, put, um, sort, statement, guidance, use, indoor, hepa, filter, portable, air, filtration, system, enclose, environment, um, augment, really, kind, bring, fresh, air, able, bring, fresh, air, would, sort, well, nothing]",pa put um sort statement guidance use indoor hepa filter portable air filtration system enclose environment um augment really kind bring fresh air able bring fresh air would sort well nothing,"['pa', 'put', 'statement', 'guidance', 'use', 'indoor', 'hepa', 'filter', 'portable', 'air', 'filtration', 'system', 'enclose', 'environment', 'augment', 'kind', 'bring', 'fresh', 'air', 'able', 'bring', 'fresh', 'air', 'would', 'well', 'nothing']",6
300,"So they do have some information about the use of HEPA filters indoors, but really, you know, they say it's to augment, fresh air and many of the other engineering and administrative measures you have in place for protection.",information use hepa filter indoor really know say augment fresh air many engineering administrative measure place protection,"[information, use, hepa, filter, indoor, really, know, say, augment, fresh, air, many, engineering, administrative, measure, place, protection]",information use hepa filter indoor really know say augment fresh air many engineering administrative measure place protection,"['information', 'use', 'hepa', 'filter', 'indoor', 'augment', 'fresh', 'air', 'many', 'engineering', 'administrative', 'measure', 'place', 'protection']",8
301,"I think you know, that's one thing that's important to remember is there's no sort of one thing that is going to protect everyone from COVID transmission.",think know one thing important remember sort one thing go protect everyone covid transmission,"[think, know, one, thing, important, remember, sort, one, thing, go, protect, everyone, covid, transmission]",think know one thing important remember sort one thing go protect everyone covid transmission,"['important', 'remember', 'protect', 'everyone', 'covid', 'transmission']",6
302,"It's really looking at, you know, the different situations and the different indoor environments and trying to layer on that protection as much as possible.",really look know different situation different indoor environment try layer protection much possible,"[really, look, know, different, situation, different, indoor, environment, try, layer, protection, much, possible]",really look know different situation different indoor environment try layer protection much possible,"['look', 'different', 'situation', 'different', 'indoor', 'environment', 'try', 'layer', 'protection', 'possible']",0
303,"So you know people who are masked, Um, if you're in a healthcare setting wearing appropriate PPE, increasing air exchangees bringing in fresh air, if you can, using portable filtration if you can, screening people before they come into a space for signs and symptoms, you know good handwashing, good surface disinfection.",know people mask um healthcare set wear appropriate ppe increase air exchangee bring fresh air use portable filtration screen people come space sign symptom know good handwashing good surface disinfection,"[know, people, mask, um, healthcare, set, wear, appropriate, ppe, increase, air, exchangee, bring, fresh, air, use, portable, filtration, screen, people, come, space, sign, symptom, know, good, handwashing, good, surface, disinfection]",know people mask um healthcare set wear appropriate ppe increase air exchangee bring fresh air use portable filtration screen people come space sign symptom know good handwashing good surface disinfection,"['people', 'mask', 'healthcare', 'set', 'wear', 'appropriate', 'ppe', 'increase', 'air', 'exchangee', 'bring', 'fresh', 'air', 'use', 'portable', 'filtration', 'screen', 'people', 'come', 'space', 'sign', 'symptom', 'good', 'handwashing', 'good', 'surface', 'disinfection']",6
304,"So you're kind of trying to layer on all of these measures to, you know, create some protection in those environments.",kind try layer measure know create protection environment,"[kind, try, layer, measure, know, create, protection, environment]",kind try layer measure know create protection environment,"['kind', 'try', 'layer', 'measure', 'create', 'protection', 'environment']",0
305,"But, you know, unfortunately, there's really no one thing which is going to protect everyone all the time or is really available to everyone in different settings.",know unfortunately really one thing go protect everyone time really available everyone different setting,"[know, unfortunately, really, one, thing, go, protect, everyone, time, really, available, everyone, different, setting]",know unfortunately really one thing go protect everyone time really available everyone different setting,"['unfortunately', 'protect', 'everyone', 'time', 'available', 'everyone', 'different', 'setting']",8
306,"Thank you Marla, there's a question Jen Blanchard, can you unmute yourself, a question that you put into the chat.",thank marla question jen blanchard unmute question put chat,"[thank, marla, question, jen, blanchard, unmute, question, put, chat]",thank marla question jen blanchard unmute question put chat,"['marla', 'question', 'jen', 'blanchard', 'unmute', 'question', 'put', 'chat']",4
307,"If not, I can ask it for you.",ask,[ask],ask,['ask'],4
308,I don't I do not see her on video.,see video,"[see, video]",see video,['video'],0
309,"Um, Jen Blanchard asked a question she wanted to clarify, but what?",um jen blanchard ask question want clarify,"[um, jen, blanchard, ask, question, want, clarify]",um jen blanchard ask question want clarify,"['jen', 'blanchard', 'ask', 'question', 'want', 'clarify']",4
310,She thinks Doctor Spray said last Thursday last Thursday that young people less than 30.,think doctor spray say last thursday last thursday young people less,"[think, doctor, spray, say, last, thursday, last, thursday, young, people, less]",think doctor spray say last thursday last thursday young people less,"['doctor', 'spray', 'last', 'thursday', 'last', 'thursday', 'young', 'people', 'less']",10
311,"If their chief complaint is primarily in nausea without your eye symptoms, do you go ahead and obtain a COVID test, can anyone speak to that?",chief complaint primarily nausea without eye symptom go ahead obtain covid test anyone speak,"[chief, complaint, primarily, nausea, without, eye, symptom, go, ahead, obtain, covid, test, anyone, speak]",chief complaint primarily nausea without eye symptom go ahead obtain covid test anyone speak,"['chief', 'complaint', 'primarily', 'nausea', 'without', 'eye', 'symptom', 'ahead', 'obtain', 'covid', 'test', 'anyone', 'speak']",9
312,"Maybe Marla, you can.",maybe marla,"[maybe, marla]",maybe marla,"['maybe', 'marla']",1
314,I didn't hear exactly what doctors Grace said during that meeting.,hear exactly doctor grace say meeting,"[hear, exactly, doctor, grace, say, meeting]",hear exactly doctor grace say meeting,"['hear', 'exactly', 'doctor', 'grace', 'meeting']",10
315,"But anyone who has symptoms, we would encourage them to be tested.",anyone symptom would encourage test,"[anyone, symptom, would, encourage, test]",anyone symptom would encourage test,"['anyone', 'symptom', 'would', 'encourage', 'test']",9
316,We've certainly talked to young people.,certainly talk young people,"[certainly, talk, young, people]",certainly talk young people,"['certainly', 'talk', 'young', 'people']",10
317,"And, um, a lot of younger people who say, you know, they they thought it was allergies, right?",um lot young people say know think allergy right,"[um, lot, young, people, say, know, think, allergy, right]",um lot young people say know think allergy right,"['young', 'people', 'allergy', 'right']",9
318,"So they had some very mild, maybe nasal congestion.",mild maybe nasal congestion,"[mild, maybe, nasal, congestion]",mild maybe nasal congestion,"['mild', 'maybe', 'nasal', 'congestion']",1
319,"No other symptoms, really.",symptom really,"[symptom, really]",symptom really,['symptom'],0
320,"And then when they did get tested, were positives.",get test positive,"[get, test, positive]",get test positive,"['get', 'test', 'positive']",1
321,"So I think someone has symptoms, you know, even some of the more unusual symptoms, like GI eye symptoms without another explanation.",think someone symptom know even unusual symptom like gi eye symptom without another explanation,"[think, someone, symptom, know, even, unusual, symptom, like, gi, eye, symptom, without, another, explanation]",think someone symptom know even unusual symptom like gi eye symptom without another explanation,"['someone', 'symptom', 'even', 'unusual', 'symptom', 'gi', 'eye', 'symptom', 'without', 'another', 'explanation']",0
322,"Um, they should be tested.",um test,"[um, test]",um test,['test'],4
325,I think that's what her really question was.,think really question,"[think, really, question]",think really question,['question'],6
326,"It sounds like people just have nausea alone, that whether or not they should be tested, But it sounds like, um, pretty much anybody should be tested with with any sort of symptoms at this point.",sound like people nausea alone whether test sound like um pretty much anybody test sort symptom point,"[sound, like, people, nausea, alone, whether, test, sound, like, um, pretty, much, anybody, test, sort, symptom, point]",sound like people nausea alone whether test sound like um pretty much anybody test sort symptom point,"['sound', 'people', 'nausea', 'alone', 'whether', 'test', 'sound', 'pretty', 'anybody', 'test', 'symptom', 'point']",6
327,So back to your Jen,back jen,"[back, jen]",back jen,"['back', 'jen']",0
328,"Uh, thanks, Karla.",uh thank karla,"[uh, thank, karla]",uh thank karla,['karla'],10
329,Uh huh.,uh huh,"[uh, huh]",uh huh,['huh'],7
330,"Um, I just wanted to, uh, see, maybe if Doctor McCabe moving about McCabe is on the call.",um want uh see maybe doctor mccabe move mccabe call,"[um, want, uh, see, maybe, doctor, mccabe, move, mccabe, call]",um want uh see maybe doctor mccabe move mccabe call,"['want', 'maybe', 'doctor', 'mccabe', 'move', 'mccabe', 'call']",1
331,If she maybe wants to ask her question about the CDC and kids and face masks. ,maybe want ask question cdc kid face mask,"[maybe, want, ask, question, cdc, kid, face, mask]",maybe want ask question cdc kid face mask,"['maybe', 'want', 'ask', 'question', 'cdc', 'kid', 'face', 'mask']",1
332,"Yes uh, hello, Everyone high.",yes uh hello everyone high,"[yes, uh, hello, everyone, high]",yes uh hello everyone high,"['hello', 'everyone', 'high']",2
333,"Uh, the CDC guideline says Children less than two should not be wearing face masks.",uh cdc guideline say child less two wear face mask,"[uh, cdc, guideline, say, child, less, two, wear, face, mask]",uh cdc guideline say child less two wear face mask,"['cdc', 'guideline', 'child', 'less', 'two', 'wear', 'face', 'mask']",5
334,Some pediatricians are saying Children less than five should not be wearing a face mask.,pediatrician say child less five wear face mask,"[pediatrician, say, child, less, five, wear, face, mask]",pediatrician say child less five wear face mask,"['pediatrician', 'child', 'less', 'five', 'wear', 'face', 'mask']",5
335,"I'm just wondering, what are we What are we How do we guide our clients on this?",wonder guide client,"[wonder, guide, client]",wonder guide client,"['wonder', 'guide', 'client']",8
336,Here doctor Hayes.,doctor hayes,"[doctor, hayes]",doctor hayes,"['doctor', 'hayes']",1
337,"I'm just going to comment that I have seen a lot of 2 to 5 year olds in clinic recently, and not one has had trouble wearing that face mask correctly.",go comment see lot year old clinic recently one trouble wear face mask correctly,"[go, comment, see, lot, year, old, clinic, recently, one, trouble, wear, face, mask, correctly]",go comment see lot year old clinic recently one trouble wear face mask correctly,"['comment', 'year', 'old', 'clinic', 'recently', 'trouble', 'wear', 'face', 'mask', 'correctly']",5
338,"So, um, it definitely can be done.",um definitely,"[um, definitely]",um definitely,['definitely'],0
339,"I don't know if I wasn't setting like a day care how easy it would be to keep it on all day, but I will tell you for a medical setting, it has not been an issue at all.",know set like day care easy would keep day tell medical setting issue,"[know, set, like, day, care, easy, would, keep, day, tell, medical, setting, issue]",know set like day care easy would keep day tell medical setting issue,"['set', 'day', 'care', 'easy', 'would', 'keep', 'day', 'tell', 'medical', 'setting', 'issue']",10
340,"Thanks doctor Hayes, Nestor or Marla.",thank doctor hayes nestor marla,"[thank, doctor, hayes, nestor, marla]",thank doctor hayes nestor marla,"['doctor', 'hayes', 'nestor', 'marla']",1
341,Any thoughts on that?,thought,[thought],thought,['thought'],10
342,"No, I don't have any anything.",anything,[anything],anything,['anything'],4
343,"I mean, I have I have an eight year old at home and she wears the mask.",mean eight year old home wear mask,"[mean, eight, year, old, home, wear, mask]",mean eight year old home wear mask,"['mean', 'eight', 'year', 'old', 'home', 'wear', 'mask']",5
344,"But I know when she's in school, she sometimes just put it below the nose, and I have tried to tell her not to do that, but it's like, you know, eight years old, It's hard. ",know school sometimes put nose try tell like know eight year old hard,"[know, school, sometimes, put, nose, try, tell, like, know, eight, year, old, hard]",know school sometimes put nose try tell like know eight year old hard,"['school', 'sometimes', 'put', 'nose', 'try', 'tell', 'eight', 'year', 'old', 'hard']",4
346,"And Doctor McCabe, you and another question.",doctor mccabe another question,"[doctor, mccabe, another, question]",doctor mccabe another question,"['doctor', 'mccabe', 'another', 'question']",1
347,I'll just read it because it relates to the airborne issues that we were talking about before.,read relate airborne issue talk,"[read, relate, airborne, issue, talk]",read relate airborne issue talk,"['read', 'relate', 'airborne', 'issue', 'talk']",8
348,And your question is about UV light.,question uv light,"[question, uv, light]",question uv light,"['question', 'uv', 'light']",8
349,And is that another option?,another option,"[another, option]",another option,"['another', 'option']",2
350,"If I'm thinking if you're indoors, Um, might that be another option?",think indoor um may another option,"[think, indoor, um, may, another, option]",think indoor um may another option,"['indoor', 'may', 'another', 'option']",2
351,Doctor Sosa have you seen any studies?,doctor sosa see study,"[doctor, sosa, see, study]",doctor sosa see study,"['doctor', 'sosa', 'study']",1
352,"I read a Jet Blue I think one of the airlines is using kind of UV light as one of the ways to perhaps some, uh, you know, clean the airplane or do something, right?",read jet blue think one airline use kind uv light one way perhaps uh know clean airplane something right,"[read, jet, blue, think, one, airline, use, kind, uv, light, one, way, perhaps, uh, know, clean, airplane, something, right]",read jet blue think one airline use kind uv light one way perhaps uh know clean airplane something right,"['read', 'jet', 'blue', 'airline', 'use', 'kind', 'uv', 'light', 'way', 'perhaps', 'clean', 'airplane', 'something', 'right']",9
353,"I mean, I've seen this mostly on press release and thinks mostly on the press, like people using these robots with UV light in airports and large areas where the, you know, in in anything at the moment where there's no clients around.",mean see mostly press release think mostly press like people use robot uv light airport large area know anything moment client around,"[mean, see, mostly, press, release, think, mostly, press, like, people, use, robot, uv, light, airport, large, area, know, anything, moment, client, around]",mean see mostly press release think mostly press like people use robot uv light airport large area know anything moment client around,"['mean', 'mostly', 'press', 'release', 'mostly', 'press', 'people', 'use', 'robot', 'uv', 'light', 'airport', 'large', 'area', 'anything', 'moment', 'client', 'around']",4
355,"I mean, I remember at the beginning ofep the of the epidemic we had to do.",mean remember beginning ofep epidemic,"[mean, remember, beginning, ofep, epidemic]",mean remember beginning ofep epidemic,"['mean', 'remember', 'beginning', 'ofep', 'epidemic']",2
356,"So use UV-lights or or hydrogen peroxide peroxide, toe clean or mask, our N95 or or sterilize our N95.",use uv light hydrogen peroxide peroxide toe clean mask n sterilize n,"[use, uv, light, hydrogen, peroxide, peroxide, toe, clean, mask, n, sterilize, n]",use uv light hydrogen peroxide peroxide toe clean mask n sterilize n,"['use', 'uv', 'light', 'hydrogen', 'peroxide', 'peroxide', 'toe', 'clean', 'mask', 'sterilize']",9
357,"So yeah, so UV lights can be used in both areas or, you know, areas where people are congregate after people have left, obviously, because of the risk of, of skin damage and radiation damage.",yeah uv light use area know area people congregate people leave obviously risk skin damage radiation damage,"[yeah, uv, light, use, area, know, area, people, congregate, people, leave, obviously, risk, skin, damage, radiation, damage]",yeah uv light use area know area people congregate people leave obviously risk skin damage radiation damage,"['uv', 'light', 'use', 'area', 'area', 'people', 'congregate', 'people', 'leave', 'obviously', 'risk', 'skin', 'damage', 'radiation', 'damage']",9
358,"And and also for for objects, you know, like mask and surfaces, etcetera.",also object know like mask surface etcetera,"[also, object, know, like, mask, surface, etcetera]",also object know like mask surface etcetera,"['object', 'mask', 'surface', 'etcetera']",5
359,And you see all the times in the labs to to kill bacteria and other viruses.,see time lab kill bacteria virus,"[see, time, lab, kill, bacteria, virus]",see time lab kill bacteria virus,"['time', 'lab', 'kill', 'bacteria', 'virus']",11
360,"So yeah, but I mean, that's that's as far as I can say.",yeah mean far say,"[yeah, mean, far, say]",yeah mean far say,"['mean', 'far']",11
361,"Thank you, Nestor, I'm just talking about kind of the N95.",thank nestor talk kind n,"[thank, nestor, talk, kind, n]",thank nestor talk kind n,"['nestor', 'talk', 'kind']",9
362,A couple questions on N95 mask a Dan Saltman says.,couple question n mask dan saltman say,"[couple, question, n, mask, dan, saltman, say]",couple question n mask dan saltman say,"['couple', 'question', 'mask', 'dan', 'saltman']",1
363,Should we be using more N95 masks or surgical masks in the health care settings?,use n mask surgical mask health care setting,"[use, n, mask, surgical, mask, health, care, setting]",use n mask surgical mask health care setting,"['use', 'mask', 'surgical', 'mask', 'health', 'care', 'setting']",10
364,"And I'm thinking, Dan, you're getting it as the uptake of cases go up or just in General Dan, if you want to Maybe, unmute you did kind of further elicit at your question, that would be great.",think dan get uptake case go general dan want maybe unmute kind elicit question would great,"[think, dan, get, uptake, case, go, general, dan, want, maybe, unmute, kind, elicit, question, would, great]",think dan get uptake case go general dan want maybe unmute kind elicit question would great,"['dan', 'get', 'uptake', 'case', 'general', 'dan', 'want', 'maybe', 'unmute', 'kind', 'elicit', 'question', 'would', 'great']",1
367,"Thank you, Joanna.",thank joanna,"[thank, joanna]",thank joanna,['joanna'],2
368,"That was a follow up to the idea that it's ah, airborne.",follow idea ah airborne,"[follow, idea, ah, airborne]",follow idea ah airborne,"['follow', 'idea', 'airborne']",0
369,"You know, if it's airborne and it's good persisting and we're protecting healthcare workers, maybe those surgical masks are not adequate.",know airborne good persisting protect healthcare worker maybe surgical mask adequate,"[know, airborne, good, persisting, protect, healthcare, worker, maybe, surgical, mask, adequate]",know airborne good persisting protect healthcare worker maybe surgical mask adequate,"['airborne', 'good', 'persisting', 'protect', 'healthcare', 'worker', 'maybe', 'surgical', 'mask', 'adequate']",10
370,"This is follow up to the, you know, the closed room the closed rooms and the clinics where you can't really You can't really fix the ventilation very easily in a big building.",follow know closed room close room clinic really really fix ventilation easily big building,"[follow, know, closed, room, close, room, clinic, really, really, fix, ventilation, easily, big, building]",follow know closed room close room clinic really really fix ventilation easily big building,"['follow', 'closed', 'room', 'close', 'room', 'clinic', 'fix', 'ventilation', 'easily', 'big', 'building']",5
371,Something like that.,something like,"[something, like]",something like,['something'],1
372,Thanks Dan.,thanks dan,"[thanks, dan]",thanks dan,"['thanks', 'dan']",1
373,"Nestor, What? Are Your thoughts on that?",nestor thought,"[nestor, thought]",nestor thought,"['nestor', 'thought']",9
374,It's a tough question.,tough question,"[tough, question]",tough question,"['tough', 'question']",6
375,"I mean, we here, um, I could give you the are really life experience.",mean um could give really life experience,"[mean, um, could, give, really, life, experience]",mean um could give really life experience,"['mean', 'could', 'give', 'life', 'experience']",11
376,"At the beginning, we were we were not able to use the N95 on everybody.",beginning able use n everybody,"[beginning, able, use, n, everybody]",beginning able use n everybody,"['beginning', 'able', 'use', 'everybody']",7
377,"So we we're limiting N95 to like, very high risk situations patients who you were going to perform like aerosol generating procedure.",limit n like high risk situation patient go perform like aerosol generate procedure,"[limit, n, like, high, risk, situation, patient, go, perform, like, aerosol, generate, procedure]",limit n like high risk situation patient go perform like aerosol generate procedure,"['limit', 'high', 'risk', 'situation', 'patient', 'perform', 'aerosol', 'generate', 'procedure']",10
378,"But at that time, it wasn't There was that much science saying that it was actually airborne all the time.",time much science say actually airborne time,"[time, much, science, say, actually, airborne, time]",time much science say actually airborne time,"['time', 'science', 'airborne', 'time']",7
379,"Now, more recently, that we are a little bit better with the N95 existence or or the number of N95 we are using N95 every time we contact or we're going to do care for a patient with COVID or a high suspicion of COVID the suspicion that we're waiting for a result because, you know, he had a close contact or something.",recently little bit well n existence number n use n every time contact go care patient covid high suspicion covid suspicion wait result know close contact something,"[recently, little, bit, well, n, existence, number, n, use, n, every, time, contact, go, care, patient, covid, high, suspicion, covid, suspicion, wait, result, know, close, contact, something]",recently little bit well n existence number n use n every time contact go care patient covid high suspicion covid suspicion wait result know close contact something,"['recently', 'little', 'bit', 'well', 'existence', 'number', 'use', 'every', 'time', 'contact', 'care', 'patient', 'covid', 'high', 'suspicion', 'covid', 'suspicion', 'wait', 'result', 'close', 'contact', 'something']",9
380,"So, yes, So we're using more N95.",yes use n,"[yes, use, n]",yes use n,['use'],11
381,"Obviously, my concern And this is my personal opinion Is that if We used to much When If we have another high peak, we're gonna run into trouble again with the N95.",obviously concern personal opinion use much another high peak go run trouble n,"[obviously, concern, personal, opinion, use, much, another, high, peak, go, run, trouble, n]",obviously concern personal opinion use much another high peak go run trouble n,"['obviously', 'concern', 'personal', 'opinion', 'use', 'another', 'high', 'peak', 'run', 'trouble']",7
382,"So it's sort of ah, if a different, difficult decision.",sort ah different difficult decision,"[sort, ah, different, difficult, decision]",sort ah different difficult decision,"['different', 'difficult', 'decision']",8
383,"So and then the other thing is that the everything showed that if if you you know, if you have adequate ventilation in the room, the procedure mask or the surgical mask confers decent protection.",thing everything show know adequate ventilation room procedure mask surgical mask confer decent protection,"[thing, everything, show, know, adequate, ventilation, room, procedure, mask, surgical, mask, confer, decent, protection]",thing everything show know adequate ventilation room procedure mask surgical mask confer decent protection,"['everything', 'show', 'adequate', 'ventilation', 'room', 'procedure', 'mask', 'surgical', 'mask', 'confer', 'decent', 'protection']",10
384,"We have seen the data from other hospitals that that have published their percentage off healthcare workers that are infected, and interestingly enough, the percentage is relatively low, very similar to the community, even in the hike of the epidemic.",see datum hospital publish percentage healthcare worker infect interestingly enough percentage relatively low similar community even hike epidemic,"[see, datum, hospital, publish, percentage, healthcare, worker, infect, interestingly, enough, percentage, relatively, low, similar, community, even, hike, epidemic]",see datum hospital publish percentage healthcare worker infect interestingly enough percentage relatively low similar community even hike epidemic,"['datum', 'hospital', 'publish', 'percentage', 'healthcare', 'worker', 'infect', 'interestingly', 'enough', 'percentage', 'relatively', 'low', 'similar', 'community', 'even', 'hike', 'epidemic']",5
385,"And I'm talking about stories down in Boston, and New York during the spring.",talk story boston new york spring,"[talk, story, boston, new, york, spring]",talk story boston new york spring,"['talk', 'story', 'boston', 'new', 'york', 'spring']",9
386,"So so obviously, although theoretically a surgical mask, it's not enough In the practical sense if you, as I was saying, if you layer that, you know, with with adequate ventilation, negative pressure room taking, you know, using the face shield in front of the of the surgical mask, limiting your contact with the patient.",obviously although theoretically surgical mask enough practical sense say layer know adequate ventilation negative pressure room taking know use face shield front surgical mask limit contact patient,"[obviously, although, theoretically, surgical, mask, enough, practical, sense, say, layer, know, adequate, ventilation, negative, pressure, room, taking, know, use, face, shield, front, surgical, mask, limit, contact, patient]",obviously although theoretically surgical mask enough practical sense say layer know adequate ventilation negative pressure room taking know use face shield front surgical mask limit contact patient,"['obviously', 'although', 'theoretically', 'surgical', 'mask', 'enough', 'practical', 'sense', 'layer', 'adequate', 'ventilation', 'negative', 'pressure', 'room', 'taking', 'use', 'face', 'shield', 'front', 'surgical', 'mask', 'limit', 'contact', 'patient']",10
388,It is really necessary and not going out of the room many times during the day.,really necessary go room many time day,"[really, necessary, go, room, many, time, day]",really necessary go room many time day,"['necessary', 'room', 'many', 'time', 'day']",8
389,All of those measures decrease the incidence and and protect the coworkers.,measure decrease incidence protect coworker,"[measure, decrease, incidence, protect, coworker]",measure decrease incidence protect coworker,"['measure', 'decrease', 'incidence', 'protect', 'coworker']",5
390,"But always Well, yeah, if you wanna go into a room and you're gonna do a physical or something and you you suspect the patient has COVID I would recommend the N95 based on what we know now from from you know, different stories.",always well yeah wanna go room go physical something suspect patient covid would recommend n base know know different story,"[always, well, yeah, wanna, go, room, go, physical, something, suspect, patient, covid, would, recommend, n, base, know, know, different, story]",always well yeah wanna go room go physical something suspect patient covid would recommend n base know know different story,"['always', 'well', 'wanna', 'room', 'physical', 'something', 'suspect', 'patient', 'covid', 'would', 'recommend', 'base', 'different', 'story']",1
392,"Nestor and Naomi Kistin ask, does the hospital have enough N95's for staff?",nestor naomi kistin ask hospital enough n staff,"[nestor, naomi, kistin, ask, hospital, enough, n, staff]",nestor naomi kistin ask hospital enough n staff,"['nestor', 'naomi', 'kistin', 'ask', 'hospital', 'enough', 'staff']",4
393,And I think your answer would be possibly now.,think answer would possibly,"[think, answer, would, possibly]",think answer would possibly,"['answer', 'would', 'possibly']",8
394,But not if we keep using it every day for all the staff.,keep use every day staff,"[keep, use, every, day, staff]",keep use every day staff,"['keep', 'use', 'every', 'day', 'staff']",8
395,Is that right?,right,[right],right,['right'],9
396,"I don't know how how many we have, but I know we're using it just for COVID patients or suspicion of COVID patients.",know many know use covid patient suspicion covid patient,"[know, many, know, use, covid, patient, suspicion, covid, patient]",know many know use covid patient suspicion covid patient,"['many', 'use', 'covid', 'patient', 'suspicion', 'covid', 'patient']",9
397,"But no for the regular, you know, spraying that comes into the ED.",regular know spray come ed,"[regular, know, spray, come, ed]",regular know spray come ed,"['regular', 'spray', 'come', 'ed']",9
398,"In that case, we just wear, you know, the regular procedure mask, and and we do question the patient, you know, if they have a fever, cough, shortness of breath, anosmia.",case wear know regular procedure mask question patient know fever cough shortness breath anosmia,"[case, wear, know, regular, procedure, mask, question, patient, know, fever, cough, shortness, breath, anosmia]",case wear know regular procedure mask question patient know fever cough shortness breath anosmia,"['case', 'wear', 'regular', 'procedure', 'mask', 'question', 'patient', 'fever', 'cough', 'shortness', 'breath', 'anosmia']",6
399,"But we're not using it all the time, because, yeah, we would run out of N95 in a few days if we use it in all in a patient contacts in all situations.",use time yeah would run n day use patient contact situation,"[use, time, yeah, would, run, n, day, use, patient, contact, situation]",use time yeah would run n day use patient contact situation,"['use', 'time', 'would', 'run', 'day', 'use', 'patient', 'contact', 'situation']",8
401,"Thanks Nestor, this is Leslie.",thank nestor leslie,"[thank, nestor, leslie]",thank nestor leslie,"['nestor', 'leslie']",1
402,"I just wanted to add that, um we worry a lot about the interactions with patients, and we need to remember also that we need to protect ourselves with other coworkers because that's actually a substantial force of healthcare spread.",want add um worry lot interaction patient need remember also need protect coworker actually substantial force healthcare spread,"[want, add, um, worry, lot, interaction, patient, need, remember, also, need, protect, coworker, actually, substantial, force, healthcare, spread]",want add um worry lot interaction patient need remember also need protect coworker actually substantial force healthcare spread,"['want', 'add', 'worry', 'interaction', 'patient', 'need', 'remember', 'need', 'protect', 'coworker', 'substantial', 'force', 'healthcare', 'spread']",6
403,"So, um, when we're talking about it, make sure we're using protection Surgical mask, um, or something when we're around coworkers as well.",um talk make sure use protection surgical mask um something around coworker well,"[um, talk, make, sure, use, protection, surgical, mask, um, something, around, coworker, well]",um talk make sure use protection surgical mask um something around coworker well,"['talk', 'make', 'sure', 'use', 'protection', 'surgical', 'mask', 'something', 'around', 'coworker', 'well']",11
404,"Yeah, exactly.",yeah exactly,"[yeah, exactly]",yeah exactly,['exactly'],10
405,The Liberator.,liberator,[liberator],liberator,['liberator'],0
409,"Some studies show that most most of the healthcare workers are infected by other healthcare workers in the cafeteria, when they remove the mask to eat to talk, you know, in the break rooms more than with patient contact.",study show healthcare worker infect healthcare worker cafeteria remove mask eat talk know break room patient contact,"[study, show, healthcare, worker, infect, healthcare, worker, cafeteria, remove, mask, eat, talk, know, break, room, patient, contact]",study show healthcare worker infect healthcare worker cafeteria remove mask eat talk know break room patient contact,"['study', 'show', 'healthcare', 'worker', 'infect', 'healthcare', 'worker', 'cafeteria', 'remove', 'mask', 'eat', 'talk', 'break', 'room', 'patient', 'contact']",0
